recordId,overviewUrl,collectionId,rapiOrderUrl,geometry,wkt,title,orderExecuteUrl,thumbnailUrl,metadataUrl,isGeorectified,collectionTitle,isOrderable,thisRecordUrl,Date du traitement,Type,Satellite,Mode de faisceau,Polarisation,Special Handling Required,Date,Info sur l'image,Beam Mnemonic,Special Handling Instructions,Métadonnées,ID de l'image
8515387,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8515387&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-75.94091688099367, 45.57775036175938], [-75.87303112990566, 45.27486212570919], [-75.48888660386689, 45.31649172718695], [-75.5546603404645, 45.61934595166968], [-75.94091688099367, 45.57775036175938]]]}","POLYGON ((-75.9409168809937 45.5777503617594 0,-75.8730311299057 45.2748621257092 0,-75.4888866038669 45.3164917271869 0,-75.5546603404645 45.6193459516697 0,-75.9409168809937 45.5777503617594 0))",RCM1_OK1373330_PK1519141_1_16M17_20210317_225944_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8515387,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8515387&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8515387&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8515387,2021-03-17 23:13:06 GMT,GRD,RCM,Stripmap 16m Resolution 30km Swath 17,HH HV,false,2021-03-17 22:59:46 GMT,,16M17,"No special handling required, use per EULA",dummy value,2037308_2103188
8502911,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8502911&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-75.81037267715094, 45.6842780392813], [-75.90085732108795, 45.31269714195562], [-75.51754523034063, 45.26632229662637], [-75.42445387219453, 45.63787690485409], [-75.81037267715094, 45.6842780392813]]]}","POLYGON ((-75.8103726771509 45.6842780392813 0,-75.900857321088 45.3126971419556 0,-75.5175452303406 45.2663222966264 0,-75.4244538721945 45.6378769048541 0,-75.8103726771509 45.6842780392813 0))",RCM2_OK1373330_PK1514815_1_16M12_20210314_111159_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8502911,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8502911&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8502911&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8502911,2021-03-14 11:13:05 GMT,GRD,RCM,Stripmap 16m Resolution 30km Swath 12,HH HV,false,2021-03-14 11:12:01 GMT,,16M12,"No special handling required, use per EULA",dummy value,2020796_2087249
8501497,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8501497&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-76.24063189386268, 45.62325383979961], [-76.15901518952671, 45.26744227260251], [-75.77473759152453, 45.31005112652878], [-75.85386749688547, 45.66583550668006], [-76.24063189386268, 45.62325383979961]]]}","POLYGON ((-76.2406318938627 45.6232538397996 0,-76.1590151895267 45.2674422726025 0,-75.7747375915245 45.3100511265288 0,-75.8538674968855 45.6658355066801 0,-76.2406318938627 45.6232538397996 0))",RCM3_OK1373330_PK1514517_1_16M16_20210313_230007_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8501497,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8501497&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8501497&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8501497,2021-03-13 23:01:01 GMT,GRD,RCM,Stripmap 16m Resolution 30km Swath 16,HH HV,false,2021-03-13 23:00:09 GMT,,16M16,"No special handling required, use per EULA",dummy value,2013958_2080187
8484134,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8484134&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-76.24140068827963, 45.622854389644], [-76.15977935831653, 45.26704337274142], [-75.77550503882114, 45.30965467673941], [-75.85463959671401, 45.66543852450298], [-76.24140068827963, 45.622854389644]]]}","POLYGON ((-76.2414006882796 45.622854389644 0,-76.1597793583165 45.2670433727414 0,-75.7755050388211 45.3096546767394 0,-75.854639596714 45.665438524503 0,-76.2414006882796 45.622854389644 0))",RCM2_OK1373330_PK1510322_1_16M16_20210309_225956_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8484134,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8484134&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8484134&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8484134,2021-03-09 23:01:02 GMT,GRD,RCM,Stripmap 16m Resolution 30km Swath 16,HH HV,false,2021-03-09 22:59:58 GMT,,16M16,"No special handling required, use per EULA",dummy value,1968115_2034487
8483153,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8483153&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-75.9062690417031, 46.80732928045054], [-76.49573066070359, 43.92145451235606], [-72.09608755050655, 43.38236088597231], [-71.27937724833969, 46.26759601184671], [-75.9062690417031, 46.80732928045054]]]}","POLYGON ((-75.9062690417031 46.8073292804505 0,-76.4957306607036 43.9214545123561 0,-72.0960875505066 43.3823608859723 0,-71.2793772483397 46.2675960118467 0,-75.9062690417031 46.8073292804505 0))",RCM1_OK1370462_PK1509766_1_SCLNB_20210309_110332_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8483153,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8483153&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8483153&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8483153,2021-03-09 11:08:43 GMT,GRD,RCM,ScanSAR Low Noise 100m Resolution 350km Swath B,HH HV,false,2021-03-09 11:03:32 GMT,,SCLNB,"No special handling required, use per EULA",dummy value,1990172_2056779
8474669,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8474669&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-76.24253212695454, 45.62421979597391], [-76.16089491867314, 45.26841046636181], [-75.77661272866055, 45.31102862428769], [-75.8557629610232, 45.6668108511471], [-76.24253212695454, 45.62421979597391]]]}","POLYGON ((-76.2425321269545 45.6242197959739 0,-76.1608949186731 45.2684104663618 0,-75.7766127286606 45.3110286242877 0,-75.8557629610232 45.6668108511471 0,-76.2425321269545 45.6242197959739 0))",RCM1_OK1373330_PK1507013_1_16M16_20210305_225944_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8474669,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8474669&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8474669&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8474669,2021-03-05 23:04:10 GMT,GRD,RCM,Stripmap 16m Resolution 30km Swath 16,HH HV,false,2021-03-05 22:59:46 GMT,,16M16,"No special handling required, use per EULA",dummy value,1973866_2040233
8411299,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8411299&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-77.0067466684783, 45.60631147949732], [-77.34932166372167, 44.08496678538634], [-72.95086975370091, 43.50405956150081], [-72.49292535383925, 45.02280536347438], [-77.0067466684783, 45.60631147949732]]]}","POLYGON ((-77.0067466684783 45.6063114794973 0,-77.3493216637217 44.0849667853863 0,-72.9508697537009 43.5040595615008 0,-72.4929253538393 45.0228053634744 0,-77.0067466684783 45.6063114794973 0))",RCM2_OK1370462_PK1503688_1_SCLNA_20210302_111205_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8411299,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8411299&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8411299&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8411299,2021-03-02 11:14:15 GMT,GRD,RCM,ScanSAR Low Noise 100m Resolution 350km Swath A,HH HV,false,2021-03-02 11:12:04 GMT,,SCLNA,"No special handling required, use per EULA",dummy value,1944925_2012075
8317731,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8317731&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-80.35639536627522, 45.12563150683986], [-80.19141873833567, 44.58583480623096], [-75.72919513209084, 45.16594928092563], [-75.8520703048312, 45.70675591189406], [-80.35639536627522, 45.12563150683986]]]}","POLYGON ((-80.3563953662752 45.1256315068399 0,-80.1914187383357 44.585834806231 0,-75.7291951320908 45.1659492809256 0,-75.8520703048312 45.7067559118941 0,-80.3563953662752 45.1256315068399 0))",RCM2_OK1349994_PK1500354_1_SC50MA_20210225_225956_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8317731,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8317731&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8317731&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8317731,2021-02-25 23:12:28 GMT,GRD,RCM,ScanSAR 50m Resolution 350km Swath A,HH HV,false,2021-02-25 22:59:55 GMT,,SC50MA,"No special handling required, use per EULA",dummy value,1926112_1993085
8308181,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8308181&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-76.07463224558205, 45.97694461984658], [-76.23532251275037, 45.19226003222516], [-71.75011469519865, 44.65447927152441], [-71.5271423930975, 45.43895429138288], [-76.07463224558205, 45.97694461984658]]]}","POLYGON ((-76.0746322455821 45.9769446198466 0,-76.2353225127504 45.1922600322252 0,-71.7501146951986 44.6544792715244 0,-71.5271423930975 45.4389542913829 0,-76.0746322455821 45.9769446198466 0))",RCM1_OK1357889_PK1500045_1_SCLNB_20210225_110346_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8308181,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8308181&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8308181&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8308181,2021-02-25 11:05:12 GMT,GRD,RCM,ScanSAR Low Noise 100m Resolution 350km Swath B,HH HV,false,2021-02-25 11:03:46 GMT,,SCLNB,"No special handling required, use per EULA",dummy value,1926097_1993342
8226392,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8226392&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-80.35824604260634, 45.12576892785833], [-80.19323347026193, 44.58597831755414], [-75.73076953499663, 45.16622166542412], [-75.85367850696524, 45.70702384350312], [-80.35824604260634, 45.12576892785833]]]}","POLYGON ((-80.3582460426063 45.1257689278583 0,-80.1932334702619 44.5859783175541 0,-75.7307695349966 45.1662216654241 0,-75.8536785069652 45.7070238435031 0,-80.3582460426063 45.1257689278583 0))",RCM1_OK1349994_PK1497393_1_SC50MA_20210221_225944_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8226392,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8226392&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8226392&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8226392,2021-02-21 23:11:23 GMT,GRD,RCM,ScanSAR 50m Resolution 350km Swath A,HH HV,false,2021-02-21 22:59:44 GMT,,SC50MA,"No special handling required, use per EULA",dummy value,1906898_1974186
8166653,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8166653&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-80.35770921920901, 45.12588908672787], [-80.19264865583217, 44.58591854006692], [-75.73043840087102, 45.16612376611204], [-75.85338353832408, 45.70710582060533], [-80.35770921920901, 45.12588908672787]]]}","POLYGON ((-80.357709219209 45.1258890867279 0,-80.1926486558322 44.5859185400669 0,-75.730438400871 45.166123766112 0,-75.8533835383241 45.7071058206053 0,-80.357709219209 45.1258890867279 0))",RCM3_OK1349994_PK1494608_1_SC50MA_20210217_230007_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8166653,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8166653&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8166653&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8166653,2021-02-17 23:01:42 GMT,GRD,RCM,ScanSAR 50m Resolution 350km Swath A,HH HV,false,2021-02-17 23:00:07 GMT,,SC50MA,"No special handling required, use per EULA",dummy value,1893187_1960536
8146697,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8146697&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-75.83175887615239, 45.49764668215295], [-75.88779361587427, 45.2981203495246], [-75.63189372933917, 45.26273922511395], [-75.5748965223993, 45.46221910429327], [-75.83175887615239, 45.49764668215295]]]}","POLYGON ((-75.8317588761524 45.4976466821529 0,-75.8877936158743 45.2981203495246 0,-75.6318937293392 45.2627392251139 0,-75.5748965223993 45.4622191042933 0,-75.8317588761524 45.4976466821529 0))",RCM3_OK1481781_PK1488529_1_QP9_20210211_112014_HH_VV_HV_VH_SLC,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8146697,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8146697&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8146697&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8146697,2021-02-12 15:34:02 GMT,SLC,RCM,Quad-Pol 9m Resolution 20km Swath 9,HH HV VH VV,false,2021-02-11 11:20:14 GMT,,QP9,"No special handling required, use per EULA",dummy value,1857998_1926854
8133451,http://was-eodms.compusult.net/wes/images/No_Data_Available.png,RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/order/direct?collection=RCMImageProducts&recordId=8133451&destination=fill_me_in,"{'type': 'Polygon', 'coordinates': [[[-78.17497524044146, 45.59158177039274], [-77.94206666919725, 44.70661346941614], [-73.44861055844395, 45.20030562737765], [-73.61058459280808, 46.08409213153194], [-78.17497524044146, 45.59158177039274]]]}","POLYGON ((-78.1749752404415 45.5915817703927 0,-77.9420666691972 44.7066134694161 0,-73.4486105584439 45.2003056273777 0,-73.6105845928081 46.0840921315319 0,-78.1749752404415 45.5915817703927 0))",RCM1_OK1357889_PK1486741_1_SCLNC_20210209_225942_HH_HV_GRD,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=preview#?cseq=RCMImageProducts&record=8133451,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/getObject?FeatureID=62f0e816-8006-4768-8f32-6ef4008e6895-8133451&ObjectType=Thumbview&collectionId=RCMImageProducts,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/Client/?entryPoint=resultDetails&resultId=8133451&collectionId=RCMImageProducts,False,RCM Image Products,True,https://www.eodms-sgdot.nrcan-rncan.gc.ca/wes/rapi/record/RCMImageProducts/8133451,2021-02-09 23:02:38 GMT,GRD,RCM,ScanSAR Low Noise 100m Resolution 350km Swath C,HH HV,false,2021-02-09 22:59:41 GMT,,SCLNC,"No special handling required, use per EULA",dummy value,1857553_1925079
